date,inception_return,one_day_return,one_month_return,one_week_return,one_year_return,portfolio,ytd_return
2023-12-15,14.9941,-0.559593,3.73621,1.60309,16.5407,core,17.4255
2023-12-14,15.6412,0.484477,3.60734,2.37617,15.4004,core,18.0863
2023-12-13,15.0837,1.33477,4.73005,2.01167,13.9072,core,17.5169
2023-12-12,13.5678,0.173278,3.45839,0.714929,12.8958,core,15.969
2023-12-11,13.3713,0.169305,3.27943,0.926733,14.2136,core,15.7684
2023-12-08,13.1797,0.197032,3.50722,0.101765,12.7894,core,15.5727
2023-12-07,12.9572,0.126712,3.71976,0.639447,12.9486,core,15.3455
2023-12-06,12.8142,0.0466361,3.71807,0.706912,13.472,core,15.1995
2023-12-05,12.7616,0.383943,3.12368,0.73475,13.7338,core,15.1458
2023-12-04,12.3303,-0.649472,2.72926,0.28778,11.7313,core,14.7054
2023-12-01,13.0647,0.735226,5.32487,0.687201,12.7784,core,15.4552
2023-11-30,12.2394,0.193834,6.13443,0.0221358,11.0984,core,14.6126
2023-11-29,12.0223,0.0742915,5.90622,-0.258167,13.7136,core,14.3908
2023-11-28,11.9391,-0.0614702,6.53705,-0.0947297,14.2996,core,14.3059
2023-11-27,12.008,-0.253784,6.60258,-0.0122513,13.5578,core,14.3762
2023-11-24,12.293,0.0698436,6.3536,0.491977,14.043,core,14.6672
2023-11-23,12.2146,-0.0869509,5.56408,1.03559,13.8137,core,14.5872
2023-11-22,12.3123,0.238274,6.01184,1.31693,13.7906,core,14.6869
2023-11-21,12.0453,0.0210357,5.8176,0.385614,15.1874,core,14.4143
2023-11-20,12.0217,0.249226,5.79534,1.94359,15.4626,core,14.3902
2023-11-17,11.7432,0.611172,4.30669,1.79625,15.5924,core,14.1059
2023-11-16,11.0644,0.191266,2.67359,1.99545,14.8593,core,13.4127
2023-11-15,10.8524,-0.683127,2.3575,1.37881,13.6484,core,13.1962
2023-11-14,11.6149,1.57335,3.29666,2.48725,15.9274,core,13.9748
2023-11-13,9.88599,0.104331,1.69662,1.02595,12.6073,core,12.2094
2023-11-10,9.77146,0.808057,1.07925,0.389104,11.8225,core,12.0924
2023-11-09,8.89156,-0.414463,0.629106,-0.0180138,16.3256,core,11.1939
2023-11-08,9.34475,0.402768,1.49418,1.85961,14.851,core,11.6567
2023-11-07,8.90611,0.125081,1.23298,2.98241,14.634,core,11.2088
2023-11-06,8.77006,-0.526706,1.10652,2.83154,13.2803,core,11.0698
2023-11-03,9.34599,0.39924,2.42967,4.06904,15.511,core,11.6579
2023-11-02,8.91117,1.45571,2.62542,3.17411,15.2833,core,11.2139
2023-11-01,7.34849,1.50951,0.476,1.67063,11.7626,core,9.61821
2023-10-31,5.75215,-0.0215981,-1.39303,-0.515366,10.4836,core,7.98812
2023-10-30,5.77499,0.670376,-1.37173,-0.1587,10.6126,core,8.01145
2023-10-27,5.07063,-0.46413,-1.76527,-0.769393,11.3901,core,7.29218
2023-10-26,5.56056,-0.0227234,-1.06448,-0.905053,11.7397,core,7.79248
2023-10-25,5.58456,-0.673026,-1.96147,-1.44212,11.5876,core,7.81698
2023-10-24,6.29998,0.336838,-1.2137,-1.73091,14.5897,core,8.54753
2023-10-23,5.94313,0.0546117,-1.54533,-2.17557,13.8841,core,8.18313
2023-10-20,5.8853,-0.600207,-2.53426,-2.00591,15.647,core,8.12408
2023-10-19,6.52467,-0.564572,-2.44425,-1.26291,15.7184,core,8.77697
2023-10-18,7.12949,-0.96407,-2.61969,-1.35352,15.5968,core,9.39458
2023-10-17,8.17235,-0.11718,-1.53842,-0.0355273,16.8636,core,10.4595
2023-10-16,8.29926,0.228137,-1.42291,0.523745,19.4571,core,10.5891
2023-10-13,8.05275,0.153458,-1.56255,0.439745,16.8627,core,10.3374
2023-10-12,7.88719,-0.655822,-1.75976,0.770165,18.5919,core,10.1683
2023-10-11,8.5994,0.359123,-1.43393,1.73031,19.1921,core,10.8956
2023-10-10,8.21079,0.441635,-1.66709,1.96547,18.7482,core,10.4987
2023-10-09,7.735,0.144384,-2.09946,0.837767,17.4701,core,10.0129
2023-10-06,7.57967,0.482936,-2.33528,0.311009,16.505,core,9.85428
2023-10-05,7.06263,0.290736,-2.9715,-0.289578,15.7352,core,9.3263
2023-10-04,6.75226,0.59111,-3.48557,-0.19304,14.0039,core,9.00937
2023-10-03,6.12494,-0.66921,-4.05272,-0.535521,14.7417,core,8.36879
2023-10-02,6.83993,-0.378753,-3.4063,-0.795815,18.8479,core,9.0989
2023-09-29,7.24613,-0.11868,-2.80792,-0.334434,18.7974,core,9.51368
2023-09-28,7.37356,0.387835,-2.52388,-0.0836417,16.6589,core,9.64381
2023-09-27,6.95873,0.245939,-1.80975,-1.54618,18.5915,core,9.22021
2023-09-26,6.69633,-0.929154,-1.48012,-2.28705,18.9405,core,8.95226
2023-09-25,7.697,0.084568,-0.556129,-2.10384,19.4326,core,9.97408
2023-09-22,7.606,0.132655,-0.630499,-2.05393,17.8655,core,9.88116
2023-09-21,7.46344,-1.08161,0.288623,-2.82954,17.2051,core,9.73559
2023-09-20,8.63848,-0.508411,1.25294,-1.02894,18.2018,core,10.9355
2023-09-19,9.19364,-0.743396,1.76315,-0.570129,17.3254,core,11.5024
2023-09-18,10.0115,0.13559,2.52532,-0.152335,19.0728,core,12.3375
2023-09-15,9.86249,-0.660269,2.2219,-0.166165,18.7636,core,12.1854
2023-09-14,10.5927,0.751382,2.57883,0.668688,18.7278,core,12.931
2023-09-13,9.76793,-0.0471886,0.853126,-0.348696,19.4017,core,12.0888
2023-09-12,9.81975,-0.32633,0.88967,-0.472777,15.8002,core,12.1417
2023-09-11,10.1793,0.12172,1.21998,-0.387189,16.3522,core,12.5089
2023-09-08,10.0454,0.170452,1.02726,-0.50829,16.9734,core,12.3721
2023-09-07,9.8581,-0.266837,0.962139,-0.296694,17.1397,core,12.1809
2023-09-06,10.152,-0.171645,0.920224,-0.174438,19.5527,core,12.481
2023-09-05,10.3414,-0.240616,1.42126,0.170414,19.1107,core,12.6744
2023-09-01,10.6076,0.38349,2.10503,2.13139,18.9081,core,12.9462
2023-08-31,10.185,-0.144544,1.13573,2.59569,18.9007,core,12.5147
2023-08-30,10.3445,0.173216,0.923279,1.8984,19.0697,core,12.6776
2023-08-29,10.1537,1.1233,1.12908,2.79927,17.5683,core,12.4827
2023-08-28,8.93009,0.582471,0.00571623,1.52473,16.6134,core,11.2333
2023-08-25,8.29928,0.839847,-0.605623,0.929655,13.2574,core,10.5891
2023-08-24,7.39731,-0.823214,-1.43291,0.224215,13.7403,core,9.66806
2023-08-23,8.28876,1.05884,-0.68466,0.757612,14.1496,core,10.5784
2023-08-22,7.15417,-0.130463,-1.64164,-0.610535,13.1016,core,9.41978
2023-08-21,7.29415,-0.00707919,-1.51315,-1.41975,11.9843,core,9.56272
2023-08-18,7.30174,0.135035,-1.86127,-1.42358,11.0425,core,9.57048
2023-08-17,7.15705,-0.295391,-2.14896,-1.51502,11.761,core,9.42272
2023-08-16,7.47452,-0.313402,-1.47403,-1.3329,10.6228,core,9.7469
2023-08-15,7.8124,-0.943582,-0.598696,-0.917902,12.167,core,10.0919
2023-08-14,8.83939,-0.0109707,0.348171,-0.282398,13.5947,core,11.1406
2023-08-11,8.85133,0.0421493,0.469809,0.051631,14.7926,core,11.1528
2023-08-10,8.80547,-0.11101,1.11282,0.354742,13.908,core,11.106
2023-08-09,8.92639,0.105879,1.72601,0.553097,16.0205,core,11.2295
2023-08-08,8.81118,-0.308243,1.59708,-0.125272,14.4773,core,11.1118
2023-08-07,9.14762,0.323968,1.91121,-0.171416,15.8035,core,11.4554
2023-08-04,8.79516,0.345231,1.38364,-0.118161,15.2011,core,11.0955
2023-08-03,8.42086,0.0864247,0.368874,0.234315,14.5135,core,10.7133
2023-08-02,8.32724,-0.569473,0.258993,-0.579966,15.9119,core,10.6177
2023-08-01,8.94766,-0.354302,0.933306,-0.0100227,15.9919,core,11.2512
2023-07-31,9.33504,0.377487,1.29219,0.274922,16.4869,core,11.6468
2023-07-28,8.92387,0.699343,2.04846,-0.0172107,16.5408,core,11.2269
2023-07-27,8.16741,-0.726655,1.79758,-0.617132,16.7273,core,10.4544
2023-07-26,8.95916,0.000530554,3.15294,-0.345385,19.3218,core,11.2629
2023-07-25,8.95858,-0.0703377,3.5431,-0.50388,18.1246,core,11.2623
2023-07-24,9.03528,0.0850552,3.61598,-0.043218,18.8003,core,11.3407
2023-07-21,8.94262,0.0951224,2.65289,0.443343,18.3212,core,11.246
2023-07-20,8.83909,-0.455207,2.32022,-0.0454165,19.3081,core,11.1403
2023-07-19,9.33679,-0.158515,2.45143,0.917891,19.4395,core,11.6486
2023-07-18,9.51038,0.392331,2.43592,1.76789,21.5895,core,11.8258
2023-07-17,9.08242,0.57224,2.03561,1.87172,19.8135,core,11.3888
2023-07-14,8.46176,-0.391942,1.62658,1.27082,21.6374,core,10.755
2023-07-13,8.88854,0.50415,2.10333,2.03148,21.2437,core,11.1908
2023-07-12,8.34233,0.682419,1.9496,0.961659,20.7269,core,10.6331
2023-07-11,7.60799,0.494758,1.59624,-0.383622,20.0077,core,9.8832
2023-07-10,7.07821,-0.0209919,1.09606,-0.897001,18.7181,core,9.34222
2023-07-07,7.1007,0.356229,1.30918,-0.777794,17.7227,core,9.36518
2023-07-06,6.72053,-0.549661,0.32171,-0.304906,18.3721,core,8.97697
2023-07-05,7.31037,-0.659142,1.4653,0.53681,20.2484,core,9.57928
2023-07-04,8.02239,-0.0231472,1.86134,1.6611,20.7987,core,10.3064
2023-07-03,8.0474,0.0992688,1.88493,2.28976,20.9336,core,10.3319
2023-06-30,7.94025,0.834521,2.8057,2.57538,22.0704,core,10.2225
2023-06-29,7.04692,0.289989,1.72614,1.43745,20.7393,core,9.31026
2023-06-28,6.73739,0.451777,1.41589,0.574985,20.208,core,8.99419
2023-06-27,6.25735,0.595097,0.838189,-0.106884,18.1773,core,8.504
2023-06-26,5.62875,0.378769,0.241653,-1.0231,16.3469,core,7.86211
2023-06-23,5.23018,-0.284095,1.04833,-1.56778,18.4191,core,7.45511
2023-06-22,5.52998,-0.562719,0.952441,-1.8347,19.7115,core,7.76125
2023-06-21,6.12718,-0.229257,0.66598,-0.560879,20.2625,core,8.37108
2023-06-20,6.37104,-0.327554,0.954061,-0.257294,21.8415,core,8.6201
2023-06-19,6.72061,-0.17363,1.28583,0.423568,22.651,core,8.97705
2023-06-16,6.90623,-0.5545,1.79653,0.933684,23.7212,core,9.1666
2023-06-15,7.50233,0.727613,2.93407,1.44888,20.9873,core,9.7753
2023-06-14,6.72578,0.0753401,1.00837,0.954543,21.7764,core,8.98234
2023-06-13,6.64543,0.352829,1.35935,0.251119,21.8856,core,8.90029
2023-06-12,6.27048,0.333452,1.00298,0.482053,18.432,core,8.51741
2023-06-09,5.9173,-0.046898,0.940423,-0.123684,16.9563,core,8.15676
2023-06-08,5.967,0.236788,1.21567,0.26281,15.2224,core,8.20751
2023-06-07,5.71667,-0.621957,0.803271,0.687898,13.4269,core,7.95189
2023-06-06,6.3783,0.583997,0.779983,1.09075,14.9925,core,8.62751
2023-06-05,5.76066,-0.271389,0.194848,0.48785,14.5078,core,7.99681
2023-06-02,6.04846,0.339893,0.309241,0.639957,13.0484,core,8.2907
2023-06-01,5.68923,0.661765,0.220019,1.14807,14.3641,core,7.92387
2023-05-31,4.99442,-0.224343,-0.558222,0.82194,12.607,core,7.21436
2023-05-30,5.23049,-0.0158834,-0.698062,0.665945,11.4804,core,7.45543
2023-05-29,5.24721,-0.120431,-0.682287,-0.168706,11.0958,core,7.4725
2023-05-26,5.37411,0.846491,4.68843,0.00790153,12.4582,core,7.60209
2023-05-25,4.48962,0.337203,3.588,-0.627349,12.9042,core,6.69889
2023-05-24,4.13846,-0.378719,2.21056,-0.838952,13.874,core,6.34031
2023-05-23,4.53435,-0.844881,3.30666,0.0922097,13.9021,core,6.74457
2023-05-22,5.42507,0.0562617,4.18692,-0.222664,15.885,core,7.65412
2023-05-19,5.36579,0.205914,4.57443,0.143132,15.3816,core,7.59359
2023-05-18,5.14927,0.123546,4.6013,0.277375,15.7131,core,7.37249
2023-05-17,5.01953,0.556765,4.7435,0.0848345,12.7183,core,7.24
2023-05-16,4.43805,-1.15681,4.69058,-0.244715,13.0544,core,6.64623
2023-05-15,5.66034,0.423081,5.91582,0.749555,13.2457,core,7.89436
2023-05-12,5.21519,0.340241,4.77611,-0.321913,14.6679,core,7.43981
2023-05-11,4.85842,-0.0686996,3.98911,-0.19358,14.2743,core,7.07549
2023-05-10,4.93051,0.225661,4.54383,-0.748213,14.0064,core,7.1491
2023-05-09,4.69425,-0.171628,4.86492,-0.723473,14.3857,core,6.90785
2023-05-08,4.87425,-0.644916,5.0452,-0.672037,8.35547,core,7.09165
2023-05-05,5.55499,0.469427,5.76396,-0.39185,8.84626,core,7.78679
2023-05-04,5.0618,-0.624027,5.25341,-0.244914,5.0618,core,7.28317
2023-05-03,5.72153,0.250644,4.77247,5.03358,5.72153,core,7.95685
2023-05-02,5.45721,-0.119906,4.58745,4.54724,5.45721,core,7.68694
2023-05-01,5.58381,-0.364653,4.71301,3.62915,-,core,7.81622
2023-04-28,5.97023,0.617633,6.07264,4.72568,-,core,8.21081
2023-04-27,5.31974,4.63441,5.95881,4.17127,-,core,7.54657
2023-04-26,0.654979,-0.213549,0.811115,-0.100997,-,core,2.78318
2023-04-25,0.870387,-0.997012,1.13691,0.344715,-,core,3.00314
2023-04-24,1.88621,0.689617,2.15541,1.61842,-,core,4.04043
2023-04-21,1.18839,0.0849699,2.10135,1.43307,-,core,3.32787
2023-04-20,1.10249,0.343149,1.06076,0.310771,-,core,3.24014
2023-04-19,0.756741,0.231661,1.37822,0.336269,-,core,2.88709
2023-04-18,0.523867,0.259661,2.09655,-0.309511,-,core,2.64929
2023-04-17,0.263521,0.505959,1.83213,-0.105959,-,core,2.38344
2023-04-14,-0.241217,-1.02241,1.0885,-0.0785988,-,core,1.86803
2023-04-13,0.789263,0.368655,1.05234,0.953561,-,core,2.9203
2023-04-12,0.419063,-0.413446,1.36549,0.617865,-,core,2.54227
2023-04-11,0.835965,0.464375,0.770961,1.01987,-,core,2.96799
2023-04-10,0.369873,0.533487,0.305169,-0.531142,-,core,2.49204
2023-04-06,-0.162746,0.0349041,-1.19908,-0.18216,-,core,1.94816
2023-04-05,-0.197581,-0.0155622,-2.21666,-0.101133,-,core,1.91259
2023-04-04,-0.182048,-1.07811,-2.49736,0.423637,-,core,1.92845
2023-04-03,0.905826,0.0736051,-1.43472,1.06235,-,core,3.03933
2023-03-31,0.831609,0.812002,-0.309829,1.09802,-,core,2.96354
2023-03-30,0.0194495,0.116108,-0.804501,0.913945,-,core,2.13421
2023-03-29,-0.0965463,0.509657,-1.12364,0.804821,-,core,2.01576
2023-03-28,-0.603129,-0.448945,-1.16646,-0.644149,-,core,1.49847
2023-03-27,-0.15488,0.108929,-0.72075,0.460976,-,core,1.95619
2023-03-24,-0.263522,0.628443,-0.987222,1.29684,-,core,1.84525
2023-03-23,-0.886395,0.00784604,-1.067,-0.715463,-,core,1.20921
2023-03-22,-0.89417,-0.935069,-2.79553,0.426842,-,core,1.20127
2023-03-21,0.041285,0.65835,-1.87802,0.302406,-,core,2.15651
2023-03-20,-0.61303,0.941867,-2.51978,0.323667,-,core,1.48836
2023-03-17,-1.54039,-1.37058,-3.39264,-1.60386,-,core,0.54139
2023-03-16,-0.172163,1.15847,-1.77054,-1.27932,-,core,1.93854
2023-03-15,-1.3154,-1.05782,-3.37363,-3.35678,-,core,0.771138
2023-03-14,-0.260334,0.679686,-2.01291,-1.29565,-,core,1.84851
2023-03-13,-0.933674,-0.997537,-2.67442,-2.93786,-,core,1.16093
2023-03-10,0.0645062,-1.04527,-1.72437,-2.25652,-,core,2.18022
2023-03-09,1.1215,-0.970295,-1.6928,-0.0788413,-,core,3.25956
2023-03-08,2.11229,1.05235,0.123917,0.956356,-,core,4.2713
2023-03-07,1.04891,-0.995385,-1.02429,0.216476,-,core,3.18543
2023-03-06,2.06484,-0.302582,-0.0291956,1.01553,-,core,4.22285
2023-03-03,2.37461,1.15939,0.0921165,1.79441,-,core,4.53917
2023-03-02,1.20129,0.0556669,-0.892693,-0.0332424,-,core,3.34104
2023-03-01,1.14499,0.311763,0.705045,0.411065,-,core,3.28354
2023-02-28,0.830633,-0.205989,-0.415131,0.646895,-,core,2.96254
2023-02-27,1.03876,0.466127,-0.209574,-0.899677,-,core,3.17507
2023-02-24,0.569978,-0.656853,-0.495235,-1.35947,-,core,2.69638
2023-02-23,1.23494,0.50037,0.175908,-0.150062,-,core,3.3754
2023-02-22,0.730916,0.54736,-0.212291,-1.16406,-,core,2.86072
2023-02-21,0.182557,-1.73945,-0.682801,-1.4215,-,core,2.30076
2023-02-17,1.95604,0.561166,1.8616,0.164513,-,core,4.11174
2023-02-16,1.38709,-0.520236,0.593862,-0.129275,-,core,3.53076
2023-02-15,1.9173,0.285468,0.875057,0.0953006,-,core,4.07218
2023-02-14,1.62718,-0.492426,0.728622,-1.20119,-,core,3.77594
2023-02-13,2.1301,0.335518,1.22709,0.141378,-,core,4.28948
2023-02-10,1.78858,0.266215,0.965454,-0.299792,-,core,3.94074
2023-02-09,1.51832,-0.29654,1.86227,-1.29436,-,core,3.66477
2023-02-08,1.82026,-1.01349,2.35633,-0.449873,-,core,3.9731
2023-02-07,2.86276,0.859777,2.63126,0.734403,-,core,5.03764
2023-02-06,1.98591,-0.106508,1.75638,1.54231,-,core,4.14225
2023-02-03,2.09465,-0.734,2.2232,0.833271,-,core,4.25329
2023-02-02,2.84957,0.556484,5.02416,1.17608,-,core,5.02416
2023-02-01,2.28039,0.164083,4.56238,1.19706,-,core,4.44296
2023-01-31,2.11284,1.66869,4.39109,1.04463,-,core,4.27186
2023-01-30,0.436861,-0.804038,2.67771,-0.503593,-,core,2.56044
2023-01-27,1.25096,-0.396518,4.60534,0.37637,-,core,3.39175
2023-01-26,1.65403,0.577338,3.79087,1.63253,-,core,3.80335
2023-01-25,1.07052,0.0132004,2.47727,0.976899,-,core,3.2075
2023-01-24,1.05718,0.110913,2.46374,0.266532,-,core,3.19387
2023-01-23,0.945213,0.0732676,2.35022,-0.0870859,-,core,3.07955
2023-01-20,0.871307,0.849973,2.06128,-0.0205713,-,core,3.00408
2023-01-19,0.0211546,-0.0714893,1.96975,-1.1402,-,core,2.13595
2023-01-18,0.0927101,-0.690387,1.63219,-0.716702,-,core,2.20902
